ngram_id,ngram,lemmas,freq,probability
157,NMOD:the-DT SBJ:issue-NNS,the issue,2,NA
158,VMOD:the-DT SBJ:Parliament-NP,the Parliament,1,NA
159,NMOD:the-DT ADV:importance-NN,the importance,1,NA
160,SBJ:the-DT ADV:Eu-NP,the Eu,1,NA
161,NMOD:the-DT NMOD:voluntary-JJ,the voluntary,1,NA
162,NMOD:the-DT ADV:incineration-NN,the incineration,1,NA
163,NMOD:the-DT NMOD:optimum-JJ,the optimum,2,NA
164,NMOD:no-DT NMOD:matter-NN,no matter,1,NA
165,NMOD:the-DT NMOD:precautionary-JJ,the precautionary,1,NA
166,NMOD:the-DT ROOT:implementation-NN,the implementation,1,NA
167,NMOD:the-DT NMOD:successful-JJ,the successful,1,NA
168,VMOD:the-DT SBJ:Commission-NP,the Commission,7,NA
169,NMOD:the-DT NMOD:Commission-NP,the Commission,1,NA
170,NMOD:the-DT NMOD:PVC-NP,the PVC,1,NA
171,PMOD:animal-NNS ROOT:welcome-VVZ,animal welcome,1,NA
172,NMOD:animal-NN OBJ:fur-NN,animal fur,1,NA
173,"PMOD:animal-NNS P:,-,","animal ,",1,NA
174,PMOD:animal-NNS VC:implement-VVN,animal implement,1,NA
175,PMOD:animal-NNS PRD:first-RB,animal first,1,NA
176,PMOD:animal-NNS P:.-SENT,animal .,1,NA
177,NMOD:animal-NNS PMOD:campaign-NNS,animal campaign,1,NA
178,PMOD:animal-NNS PMOD:fur-NN,animal fur,1,NA
179,PMOD:animal-NNS SBJ:fur-NN,animal fur,1,NA
180,PMOD:animal-NNS OBJ:would-MD,animal would,1,NA
181,PMOD:animal-NNS VC:persecute-VVN,animal persecute,1,NA
182,NMOD:the-DT SBJ:binding-NNS,the binding,1,NA
183,NMOD:the-DT SBJ:pack-NN,the pack,1,NA
184,NMOD:no-DT NMOD:previous-JJ,no previous,1,NA
185,NMOD:the-DT SBJ:vessel-NN,the vessel,1,NA
186,NMOD:the-DT NMOD:Alum-NP,the Alum,1,NA
187,PMOD:animal-NNS COORD:bird-NNS,animal bird,1,NA
188,NMOD:the-DT SBJ:animal-NNS,the animal,1,NA
189,SBJ:animal-NNS ROOT:enjoy-VVD,animal enjoy,1,NA
190,NMOD:animal-NN COORD:poultry-NN,animal poultry,1,NA
191,NMOD:the-DT SBJ:lack-NN,the lack,1,NA
192,DEP:the-DT ROOT:Common-NP,the Common,1,NA
193,NMOD:the-DT SBJ:price-NN,the price,1,NA
194,NMOD:the-DT NMOD:good-JJS,the good,6,NA
195,NMOD:the-DT NMOD:training-NN,the training,2,NA
196,ROOT:the-DT VMOD:Disease-NP,the Disease,1,NA
197,NMOD:the-DT PRN:responsibility-NNS,the responsibility,1,NA
198,NMOD:the-DT PMOD:Simsâ˘-NP,the Simsâ˘,1,NA
199,NMOD:the-DT AMOD:Godfatherâ˘-NP,the Godfatherâ˘,1,NA
200,NMOD:the-DT NMOD:Sims-NP,the Sims,1,NA
201,VMOD:the-DT SBJ:Godfather-NP,the Godfather,1,NA
202,NMOD:the-DT SBJ:jaw-NN,the jaw,3,NA
203,VMOD:the-DT SBJ:Tools-NP,the Tools,1,NA
204,NMOD:the-DT SBJ:note-NN,the note,2,NA
205,NMOD:the-DT SBJ:framework-NN,the framework,3,NA
206,NMOD:the-DT NMOD:chemical-NN,the chemical,1,NA
207,NMOD:the-DT NMOD:late-JJ,the late,1,NA
208,NMOD:the-DT SBJ:year-NN,the year,1,NA
209,NMOD:no-DT NMOD:financial-JJ,no financial,1,NA
210,NMOD:the-DT NMOD:tourist-NN,the tourist,1,NA
211,DEP:and-CC PRD:many-JJ,and many,1,NA
212,NMOD:the-DT NMOD:north-western-JJ,the north-western,1,NA
213,NMOD:the-DT NMOD:south-JJ,the south,1,NA
214,NMOD:the-DT NMOD:Backpackers-NP,the Backpackers,1,NA
215,ADV:the-DT ROOT:Rhythm-NP,the Rhythm,1,NA
216,NMOD:the-DT NMOD:RHYTHM-NP,the RHYTHM,1,NA
217,NMOD:the-DT NMOD:third-JJ,the third,2,NA
218,P:the-DT DEP:Wailing-NP,the Wailing,1,NA
219,NMOD:the-DT SBJ:album-NN,the album,2,NA
220,ROOT:the-DT ROOT:Rockers-NP,the Rockers,1,NA
221,NMOD:the-DT SBJ:method-NN,the method,1,NA
222,NMOD:the-DT SBJ:method-NNS,the method,2,NA
223,NMOD:the-DT SBJ:installation-NN,the installation,3,NA
224,NMOD:the-DT SBJ:type-NN,the type,1,NA
225,NMOD:the-DT NMOD:ribbon-NN,the ribbon,2,NA
226,NMOD:the-DT NMOD:red-JJ,the red,2,NA
227,NMOD:the-DT SBJ:image-NN,the image,3,NA
228,NMOD:the-DT ROOT:60cm-NN,the 60cm,1,NA
229,NMOD:the-DT SBJ:screw-NNS,the screw,1,NA
230,NMOD:the-DT NMOD:new-JJ,the new,4,NA
231,NMOD:the-DT NMOD:method-NN,the method,1,NA
232,NMOD:the-DT NMOD:additional-JJ,the additional,1,NA
233,NMOD:the-DT NMOD:configuration-NN,the configuration,1,NA
234,DEP:the-DT DEP:Master-NP,the Master,1,NA
235,NMOD:the-DT NMOD:Cap-NP,the Cap,1,NA
236,NMOD:the-DT NMOD:master-NN,the master,1,NA
237,NMOD:the-DT NMOD:boot-NN,the boot,3,NA
238,SBJ:the-DT ROOT:diagram-VVZ,the diagram,1,NA
239,NMOD:the-DT NMOD:power-NN,the power,2,NA
240,NMOD:the-DT SBJ:ridge-NNS,the ridge,1,NA
241,NMOD:the-DT NMOD:middle-JJ,the middle,1,NA
242,NMOD:the-DT SBJ:side-NN,the side,3,NA
243,NMOD:the-DT ROOT:figure-NN,the figure,1,NA
244,NMOD:the-DT NMOD:early-JJR,the early,1,NA
245,CC:and-CC PRD:page-NNS,and page,1,NA
246,NMOD:the-DT NMOD:connection-NN,the connection,1,NA
247,NMOD:the-DT SBJ:drive-NN,the drive,1,NA
248,NMOD:the-DT SBJ:mode-NNS,the mode,1,NA
249,NMOD:the-DT ROOT:use-NN,the use,1,NA
250,NMOD:the-DT SBJ:level-NNS,the level,1,NA
251,DEP:and-CC VMOD:since-IN,and since,1,NA
252,VMOD:the-DT SBJ:FDD-NP,the FDD,1,NA
253,NMOD:the-DT SBJ:end-NN,the end,1,NA
254,VMOD:the-DT SBJ:PSU-NP,the PSU,1,NA
255,ROOT:and-CC NMOD:sound-VVZ,and sound,1,NA
256,NMOD:the-DT NMOD:call-NN,the call,1,NA
257,NMOD:no-DT NMOD:news-NN,no news,1,NA
258,NMOD:the-DT SBJ:monitor-NNS,the monitor,1,NA
259,NMOD:the-DT NMOD:Apprentice-NP,the Apprentice,1,NA
260,DEP:the-DT SBJ:Apprentice-NP,the Apprentice,1,NA
261,VMOD:the-DT SBJ:Guardian-NP,the Guardian,1,NA
262,VMOD:the-DT SBJ:Angels-NPS,the Angels,1,NA
263,NMOD:the-DT NMOD:title-NN,the title,1,NA
264,NMOD:the-DT SBJ:simplicity-NN,the simplicity,1,NA
265,NMOD:the-DT NMOD:gentle-JJ,the gentle,1,NA
266,VMOD:the-DT SBJ:Act-NP,the Act,1,NA
267,NMOD:no-DT NMOD:more-JJR,no more,1,NA
268,AMOD:no-RB VMOD:more-JJR,no more,1,NA
269,NMOD:the-DT NMOD:bluesy-NN,the bluesy,1,NA
270,NMOD:the-DT NMOD:final-JJ,the final,1,NA
271,NMOD:the-DT SBJ:song-NN,the song,1,NA
272,CC:and-CC ROOT:remember-VV,and remember,1,NA
273,CC:and-CC VC:get-VV,and get,2,NA
274,VMOD:the-DT SBJ:Club-NP,the Club,1,NA
275,DEP:the-DT ROOT:Croquet-NP,the Croquet,1,NA
276,NMOD:the-DT SBJ:follow-VVG,the follow,3,NA
277,NMOD:the-DT SBJ:station-NN,the station,2,NA
278,ROOT:no-RB P:.-SENT,no .,1,NA
279,NMOD:the-DT NMOD:man-NNS,the man,1,NA
280,NMOD:the-DT OBJ:way-NN,the way,1,NA
281,NMOD:the-DT SBJ:heart-NN,the heart,1,NA
282,NMOD:the-DT SBJ:force-NNS,the force,1,NA
283,NMOD:the-DT NMOD:great-JJS,the great,1,NA
284,NMOD:the-DT SBJ:threat-NN,the threat,1,NA
285,NMOD:the-DT ROOT:policy-NNS,the policy,1,NA
286,NMOD:the-DT SBJ:government-NN,the government,2,NA
287,VMOD:the-DT SBJ:UK-NP,the UK,2,NA
288,ROOT:the-DT ROOT:Funeralcare-NP,the Funeralcare,1,NA
289,DEP:the-DT P:UNMUTUAL-NP,the UNMUTUAL,1,NA
290,CC:and-CC SBJ:director-NN,and director,1,NA
291,NMOD:the-DT NMOD:jukebox-NN,the jukebox,1,NA
292,NMOD:the-DT NMOD:railway-NN,the railway,1,NA
293,NMOD:the-DT SBJ:safety-NN,the safety,1,NA
294,NMOD:the-DT NMOD:side-NN,the side,1,NA
295,NMOD:the-DT NMOD:herbal-JJ,the herbal,1,NA
296,NMOD:the-DT SBJ:srip-NN,the srip,1,NA
297,DEP:the-DT ROOT:Internet-NP,the Internet,1,NA
298,NMOD:the-DT NMOD:monthly-JJ,the monthly,1,NA
299,P:the-DT DEP:Editor-NP,the Editor,1,NA
300,P:the-DT DEP:WHEELWRIGHTS-NP,the WHEELWRIGHTS,1,NA
301,SBJ:church-NP ADV:College-NP,church College,1,NA
302,NMOD:the-DT NMOD:Claremont-NP,the Claremont,1,NA
303,ROOT:the-DT VMOD:Claremont-NP,the Claremont,1,NA
304,CC:and-CC P:.-SENT,and .,1,NA
305,NMOD:the-DT SBJ:site-NN,the site,2,NA
306,NMOD:the-DT SBJ:feature-NN,the feature,1,NA
307,VMOD:the-DT VMOD:Poetry-NP,the Poetry,1,NA
308,NMOD:the-DT NMOD:winning-JJ,the winning,1,NA
309,NMOD:the-DT PMOD:Rialto-NP,the Rialto,1,NA
310,NMOD:the-DT NMOD:entry-NN,the entry,1,NA
311,NMOD:the-DT NMOD:Strike-NP,the Strike,2,NA
312,NMOD:the-DT SBJ:team-NN,the team,2,NA
313,NMOD:the-DT NMOD:figure-NNS,the figure,1,NA
314,NMOD:the-DT SBJ:provision-NN,the provision,1,NA
315,VMOD:the-DT SBJ:Goldfinch-NP,the Goldfinch,1,NA
316,NMOD:the-DT SBJ:species-NN,the species,1,NA
317,NMOD:the-DT SBJ:bird-NNS,the bird,1,NA
318,P:the-DT DEP:Nunnery-NP,the Nunnery,1,NA
319,NMOD:the-DT NMOD:entire-JJ,the entire,2,NA
320,NMOD:the-DT SBJ:scheme-NN,the scheme,1,NA
321,NMOD:the-DT SBJ:aim-NN,the aim,1,NA
322,NMOD:the-DT NMOD:public-JJ,the public,1,NA
323,NMOD:the-DT NMOD:valley-NN,the valley,1,NA
324,NMOD:the-DT ROOT:worldâs-NN,the worldâs,1,NA
325,NMOD:the-DT NMOD:research-NN,the research,2,NA
326,NMOD:the-DT NMOD:result-VVG,the result,1,NA
327,NMOD:the-DT SBJ:company-NN,the company,1,NA
328,NMOD:the-DT ROOT:community-NN,the community,1,NA
329,NMOD:the-DT SBJ:community-NN,the community,1,NA
330,NMOD:the-DT NMOD:community-NN,the community,1,NA
331,NMOD:animal-JJ PMOD:disease-NNS,animal disease,1,NA
332,NMOD:the-DT SBJ:plan-NN,the plan,2,NA
333,NMOD:the-DT NMOD:contingency-NN,the contingency,1,NA
334,NMOD:animal-NN PMOD:disease-NNS,animal disease,1,NA
335,NMOD:the-DT NMOD:Welsh-JJ,the Welsh,1,NA
336,NMOD:the-DT SBJ:latter-NN,the latter,1,NA
337,NMOD:the-DT PMOD:Famine-NP,the Famine,1,NA
338,NMOD:the-DT ROOT:work-NN,the work,1,NA
339,NMOD:the-DT SBJ:majority-NN,the majority,2,NA
340,NMOD:the-DT SBJ:survey-NN,the survey,1,NA
341,NMOD:the-DT NMOD:FRS-NP,the FRS,1,NA
342,NMOD:the-DT NMOD:vulnerable-JJ,the vulnerable,1,NA
343,VMOD:the-DT SBJ:NCFSC-NP,the NCFSC,1,NA
344,ROOT:the-DT ROOT:Philharmonic-NP,the Philharmonic,1,NA
345,CC:and-CC SBJ:series-NN,and series,1,NA
346,DEP:the-DT ROOT:Mersey-NP,the Mersey,1,NA
347,NMOD:the-DT SBJ:text-NN,the text,1,NA
348,CC:and-CC SBJ:cost-NNS,and cost,1,NA
349,NMOD:dog-NN NMOD:fence-NN,dog fence,1,NA
350,OBJ:dog-NNS NMOD:complete-JJ,dog complete,1,NA
351,NMOD:the-DT SBJ:dog-NN,the dog,1,NA
352,SBJ:dog-NN ROOT:wear-VVZ,dog wear,1,NA
353,SBJ:dog-NN ADV:first-RB,dog first,1,NA
354,SBJ:dog-NN ROOT:learn-VVZ,dog learn,1,NA
355,PMOD:dog-NN COORD:layout-NN,dog layout,1,NA
356,NMOD:the-DT SBJ:zone-NNS,the zone,1,NA
357,OBJ:dog-NN P:)-),dog ),1,NA
358,PRD:dog-NN NMOD:difficult-JJ,dog difficult,1,NA
359,SBJ:dog-NNS ADV:wish-VVP,dog wish,1,NA
360,NMOD:dog-NN NMOD:training-NN,dog training,1,NA
361,NMOD:the-DT SBJ:response-NN,the response,1,NA
362,NMOD:the-DT ROOT:planning-NN,the planning,1,NA
363,NMOD:the-DT SBJ:second-NN,the second,1,NA
364,NMOD:the-DT NMOD:existing-JJ,the existing,1,NA
365,NMOD:the-DT SBJ:main-JJ,the main,2,NA
366,NMOD:the-DT NMOD:knowledgeable-JJ,the knowledgeable,1,NA
367,DEP:the-DT ROOT:European-NP,the European,1,NA
368,NMOD:the-DT NMOD:archaeological-JJ,the archaeological,2,NA
369,NMOD:the-DT NMOD:prime-JJ,the prime,1,NA
370,COORD:church-NNS COORD:trackways-NNS,church trackways,1,NA
371,NMOD:the-DT SBJ:focus-NN,the focus,1,NA
372,NMOD:the-DT NMOD:visible-JJ,the visible,1,NA
373,NMOD:the-DT ROOT:place-NNS,the place,1,NA
374,NMOD:the-DT SBJ:programme-NN,the programme,1,NA
375,NMOD:the-DT SBJ:effectiveness-NN,the effectiveness,1,NA
376,NMOD:the-DT NMOD:interest-NN,the interest,2,NA
377,NMOD:the-DT SBJ:asset-NN,the asset,1,NA
378,ROOT:and-CC ROOT:snow-VVZ,and snow,1,NA
379,NMOD:the-DT SBJ:sky-NN,the sky,1,NA
380,NMOD:the-DT SBJ:trailer-NN,the trailer,1,NA
381,NMOD:the-DT SBJ:character-NNS,the character,1,NA
382,P:and-CC DEP:INFLUENCE-NP,and INFLUENCE,1,NA
383,P:and-CC DEP:CONSOLIDATION-NP,and CONSOLIDATION,1,NA
384,NMOD:the-DT SBJ:following-NN,the following,2,NA
385,CC:and-CC SBJ:I-PP,and I,2,NA
386,NMOD:the-DT SBJ:payment-NNS,the payment,1,NA
387,NMOD:the-DT NMOD:membership-NN,the membership,1,NA
388,NMOD:the-DT NMOD:secret-JJ,the secret,1,NA
389,NMOD:the-DT SBJ:purpose-NN,the purpose,3,NA
390,NMOD:the-DT SBJ:organization-NN,the organization,1,NA
391,ROOT:the-DT ROOT:Austrian-NP,the Austrian,1,NA
392,NMOD:the-DT ROOT:effect-NN,the effect,1,NA
393,NMOD:the-DT NMOD:former-JJ,the former,1,NA
394,NMOD:the-DT SBJ:institution-NN,the institution,1,NA
395,NMOD:the-DT ADV:defendant-NN,the defendant,1,NA
396,VMOD:the-DT SBJ:Austria-NP,the Austria,1,NA
397,NMOD:the-DT ROOT:leadership-NN,the leadership,1,NA
398,"PMOD:church-NN P:,-,","church ,",5,NA
399,NMOD:the-DT NMOD:slight-JJS,the slight,1,NA
400,VMOD:the-DT SBJ:Fuehrer-NP,the Fuehrer,1,NA
401,NMOD:the-DT NMOD:subversive-JJ,the subversive,1,NA
402,NMOD:the-DT SBJ:result-NN,the result,1,NA
403,NMOD:the-DT ROOT:reason-NN,the reason,1,NA
404,DEP:the-DT VMOD:Green-NP,the Green,1,NA
405,NMOD:the-DT SBJ:document-NNS,the document,2,NA
406,"NMOD:the-DT P:,-,","the ,",1,NA
407,VMOD:the-DT VMOD:Community-NP,the Community,1,NA
408,VMOD:the-DT SBJ:Plan-NP,the Plan,1,NA
409,NMOD:the-DT SBJ:priority-NNS,the priority,1,NA
410,NMOD:the-DT ROOT:European-JJ,the European,1,NA
411,NMOD:the-DT SBJ:court-NN,the court,1,NA
412,NMOD:the-DT SBJ:move-NN,the move,1,NA
413,VMOD:no-DT VMOD:Less-NP,no Less,1,NA
414,P:the-DT DEP:Times-NP,the Times,1,NA
415,NMOD:the-DT NMOD:Cambodian-JJ,the Cambodian,1,NA
416,P:the-DT DEP:Guardian-NP,the Guardian,1,NA
417,NMOD:the-DT SBJ:law-NN,the law,1,NA
418,DEP:the-DT ROOT:Planned-NP,the Planned,1,NA
419,DEP:the-DT ROOT:American-NP,the American,1,NA
420,NMOD:the-DT SBJ:case-NN,the case,2,NA
421,NMOD:the-DT NMOD:Catholic-JJ,the Catholic,1,NA
422,DEP:the-DT P:St-NP,the St,1,NA
423,P:the-DT DEP:Republican-NP,the Republican,1,NA
424,ROOT:the-DT VMOD:Blessed-NP,the Blessed,1,NA
425,ROOT:the-DT ROOT:Welsh-NP,the Welsh,1,NA
426,NMOD:the-DT SBJ:reliability-NN,the reliability,1,NA
427,NMOD:the-DT NMOD:site-NN,the site,1,NA
428,NMOD:the-DT SBJ:energy-NN,the energy,2,NA
429,NMOD:the-DT SBJ:direction-NN,the direction,1,NA
430,NMOD:the-DT SBJ:year-NNS,the year,2,NA
431,NMOD:the-DT NMOD:reptilian-JJ,the reptilian,2,NA
432,"SBJ:animal-NNS P:,-,","animal ,",1,NA
433,NMOD:the-DT NMOD:old-JJ,the old,5,NA
434,NMOD:the-DT NMOD:original-JJ,the original,1,NA
